batch_index,coefficient_of_variation,dominant_agent,effective_number_of_agents,epoch,hhi_concentration,influence_entropy,influence_range,max_influence,min_influence,n_agents,normalized_influence_entropy,split
0,0.6901013986904997,8,12.411602649748069,0,0.0922649962796615,2.5186317326792427,0.1629408718483727,0.1649488784449943,0.002008006596621633,16,0.9084043776404802,validation
1,0.7392023224733669,8,12.068734919231996,0,0.09665125459687621,2.4906182176222442,0.1709835040865913,0.17328825007965876,0.002304745993067471,16,0.8983006378278302,validation
2,0.7303363492479478,8,11.885093688916815,0,0.09583694893955128,2.475284983735804,0.15474650596047257,0.15685182104891668,0.002105315088444097,16,0.8927703427056408,validation
3,0.6320641223985395,6,12.699132421392154,0,0.08746906592646475,2.541533677854879,0.12262811797033402,0.12463870355120778,0.002010585580873754,16,0.9166645083233806,validation
4,0.6634126416960539,8,12.490418164889324,0,0.09000727082263354,2.5249618035521704,0.13448620497117147,0.1365231474475316,0.00203694247636012,16,0.9106874681046924,validation
0,0.7091566328568042,8,12.213252929312318,1,0.0939314456203,2.502521667817486,0.13974622471896178,0.14418127770266076,0.004435052983698965,16,0.9025938999693662,train
1,0.8355845127786713,6,11.37224952870672,1,0.1061375923747231,2.431176135924625,0.18552097411642257,0.19014591421340393,0.00462494009698136,16,0.8768614387065123,train
2,0.7305268315964983,13,12.303870359041426,1,0.09585434073015117,2.509913876218948,0.13696033363431567,0.14529500847572457,0.008334674841408898,16,0.905260075569868,train
3,0.696568739534626,0,12.305099600987575,1,0.0928255005560536,2.51001377816114,0.14445970401686203,0.14724271999306301,0.002783015976200978,16,0.9052961075790118,train
4,0.792690941128952,13,11.867995640721729,1,0.10177243300924396,2.4738453351148686,0.1404609750288516,0.15403382738363827,0.013572852354786677,16,0.8922510992241293,train
0,0.7486012110028347,13,12.257818407597789,1,0.09752523581968192,2.506163970758817,0.13464196563696026,0.1521075109569452,0.017465545319984916,16,0.9039075830670845,validation
1,0.697880469505549,14,12.237827432662971,1,0.09293982185733034,2.504531763998208,0.12415319918730115,0.12920216494041506,0.005048965753113902,16,0.9033188889172755,validation
2,0.6307562122713524,14,13.058747064102986,1,0.08736583745743146,2.569458182347347,0.12214821571318224,0.13135264006510913,0.009204424351926886,16,0.9267361443610219,validation
3,0.7973103887057466,6,11.953409242671468,1,0.10223149099613181,2.4810165299631803,0.19545993547354606,0.20119968740622382,0.005739751932677762,16,0.8948375610353562,validation
4,0.6604625865745384,13,12.660248443067944,1,0.0897631767665456,2.538467040778449,0.1286656052110432,0.1351995872363579,0.006533982025314692,16,0.9155584527977876,validation
0,0.632064953807312,8,12.784981757259102,2,0.08746913161446496,2.548271181855867,0.13469933124736178,0.1375482081953363,0.002848876947974531,16,0.9190945492259293,train
1,0.739819151886461,7,11.858988724695491,2,0.09670827359362515,2.4730861222018277,0.1558213725447302,0.15864090176657197,0.002819529221841779,16,0.8919772710479734,train
2,0.5484787701360022,8,13.655438231226292,2,0.08130181008061885,2.614137847506726,0.12829517749889405,0.1363702276298698,0.00807505013097576,16,0.9428509271995258,train
3,0.6288613651894787,8,13.176704058950751,2,0.08721666353924842,2.5784504264015036,0.15756892451264884,0.16887221180686907,0.01130328729422022,16,0.9299794108368706,train
4,0.5607028590086655,8,13.551971547299711,2,0.08214923100628072,2.6065320383871073,0.14377443903915693,0.15074886227190729,0.006974423232750357,16,0.9401077114248203,train
0,0.6146947184030206,8,13.080260027414923,2,0.08611559980203555,2.5711042256032357,0.14891988092624428,0.15513393761648273,0.006214056690238445,16,0.9273298289716118,validation
1,0.6176762604494791,8,12.87160969134207,2,0.08634524767017829,2.555024086929394,0.13370078419085865,0.13764504646067124,0.003944262269812591,16,0.9215301448912221,validation
2,0.621793636691723,14,13.112477049827051,2,0.08666420791439491,2.573564223469372,0.14777612723303116,0.15296167462888968,0.005185547395858532,16,0.9282170856521298,validation
3,0.6962622053762157,7,12.308912333497757,2,0.09279881616470947,2.510323579956217,0.13284871231096793,0.1400701148289122,0.00722140251794429,16,0.9054078449573658,validation
4,0.4916479796367246,7,13.917156824778786,2,0.07760735849255457,2.6331223829507002,0.10657367279217174,0.10947187904086136,0.0028982062486896205,16,0.9496981509841763,validation
0,0.730043652801366,15,12.101149264310644,3,0.09581023343722259,2.493300428613872,0.15499370968470697,0.1640678699983842,0.009074160313677249,16,0.8992680409518901,train
1,0.827628315326713,6,11.436880429774293,3,0.10531053927065831,2.4368432590600095,0.15069192686194133,0.15311322813963407,0.0024213012776927315,16,0.8789054213173939,train
2,0.6130335901842342,15,13.000296027448544,3,0.08598813641838574,2.5649721285444693,0.1263046424839865,0.13802422094631903,0.011719578462332503,16,0.9251181424673787,train
3,0.6229898009428997,2,12.557600245381048,3,0.08675726825492963,2.5303260795193014,0.11283178241362925,0.1181028051462338,0.005271022732604549,16,0.9126222216886273,train
4,0.6381093855583476,15,12.99076524624496,3,0.08794897424610323,2.5642387393588253,0.13365828909344005,0.1468284090440498,0.013170119950609767,16,0.9248536282320862,train
0,0.6609795152881155,15,13.121829144608478,3,0.089805869976907,2.574277190308157,0.15279494740809266,0.16899074771432904,0.016195800306236373,16,0.9284742340827882,validation
1,0.7502165583681082,15,12.16256170595317,3,0.09767655527810556,2.498362520958918,0.16976922757407786,0.18226375093155542,0.012494523357477562,16,0.90109380483257,validation
2,0.6765042929185601,15,12.263306821233714,3,0.09110362864607754,2.5066116185462946,0.13832180440751346,0.1421273779219172,0.003805573514403748,16,0.9040690378778493,validation
3,0.7415505652425999,6,12.094815876717233,3,0.09686857755072621,2.492776920855356,0.14419773091965113,0.1462910814968074,0.002093350577156263,16,0.8990792254401205,validation
4,0.6160519342872917,15,12.958899676859106,3,0.0862199991086946,2.5617827858428734,0.150372495675102,0.1538139771518282,0.0034414814767262172,16,0.9239678302425568,validation
0,0.7526053116188953,11,11.87921458254847,4,0.09790092219231092,2.4747901991688708,0.14981236023663413,0.1566812889221768,0.0068689286855426876,16,0.892591886895385,train
1,0.8302033074160995,7,11.256891890613204,4,0.1055773457277894,2.420980553578945,0.15546009958195942,0.16101153907184312,0.00555143948988372,16,0.8731841596842403,train
2,0.5598275658465295,15,13.547726784220707,4,0.08208793146760314,2.606218768249426,0.11164988458006542,0.122232150038971,0.01058226545890559,16,0.9399947231062974,train
3,0.6467659565199145,12,12.80573505671435,4,0.08864413765707002,2.549893121886366,0.12964468180339073,0.140730324552886,0.01108564274949527,16,0.9196795404355843,train
4,0.5746441949838913,15,13.447327611536311,4,0.08313849692679277,2.5987803957141615,0.11971998572818958,0.13073305566497612,0.011013069936786538,16,0.9373118973140697,train
0,0.6458185333120086,15,12.863926927898195,4,0.08856759862307963,2.5544270320643045,0.12309259091743646,0.13287829073046423,0.00978569981302777,16,0.9213148028679714,validation
1,0.8062967320126344,11,11.383543597671824,4,0.10313215125339088,2.4321687684230606,0.14387830447363212,0.15030405547576822,0.006425751002136095,16,0.8772194552022419,validation
2,0.571974855438483,15,13.461435104703371,4,0.0829472022033671,2.599828938496181,0.12569542914147727,0.13287640749158727,0.007180978350110005,16,0.9376900791820145,validation
3,0.667218390344454,15,12.619723153254602,4,0.09032377377586526,2.535260919729386,0.1320207020125966,0.13796557961471978,0.005944877602123163,16,0.9144020890632945,validation
4,0.744004273082701,11,12.079870404030297,4,0.09709639739783239,2.4915404643059347,0.12653536211552505,0.13723784838510136,0.010702486269576322,16,0.8986332680070893,validation
0,0.7300897599863652,6,12.068532890365757,5,0.09581444110230927,2.490601477627657,0.15546800864722757,0.1619467126423986,0.006478703995171018,16,0.8982946001510362,test
1,0.7832532130633478,6,12.1026672038503,5,0.10084284973587862,2.49342585838183,0.19255584094317543,0.1963926335266601,0.003836792583484647,16,0.8993132801779432,test
2,0.6577615058111356,2,12.582318392190002,5,0.08954063740793329,2.5322925261996225,0.14577508164558436,0.15058921908635167,0.004814137440767311,16,0.9133314674070953,test
3,0.8209176040438246,2,11.662895324231926,5,0.10461910703931585,2.4564124626392214,0.16625604699503047,0.17138577098145477,0.005129723986424308,16,0.8859635195568627,test
4,0.6507483613316175,15,12.610574388547553,5,0.08896708936098659,2.534535699181125,0.12050977799698867,0.12426383872870217,0.003754060731713499,16,0.9141405210411627,test
0,0.7106589013317065,12,12.344561568832589,5,0.09406475462762426,2.513215607288596,0.1395452756233702,0.14445278697805555,0.004907511354685333,16,0.9064509233300005,train
1,0.8529092188104094,6,11.010998909139765,5,0.10796588347073642,2.398894674061407,0.15846226291806992,0.16389211506679788,0.0054298521487279455,16,0.8652183624708346,train
2,0.6333803171335517,12,12.893428089195888,5,0.08757316413326241,2.5567177311037237,0.1335993737914397,0.14243054221959991,0.0088311684281602,16,0.9221409979040561,train
3,0.6736119251805158,12,12.406628645740605,5,0.09085956410908755,2.5182308979851955,0.1419629525472759,0.14683263926435772,0.0048696867170818165,16,0.9082598070841507,train
4,0.6724561614497471,12,12.759542207765227,5,0.090762330566983,2.5462794001386575,0.1452794958641806,0.15912587458319913,0.013846378719018542,16,0.9183761658244415,train
0,0.7297222685313328,12,12.49107226535398,5,0.09578091182440715,2.525014170360839,0.1492643828784882,0.16198336923850026,0.012718986360012076,16,0.9107063554384857,validation
1,0.771062722413462,14,11.868064215786053,5,0.09965860761847871,2.4738511132486227,0.13564088378255693,0.1429978125573277,0.007356928774770797,16,0.8922531832453574,validation
2,0.6529709404217681,15,12.692691795508328,5,0.08914819056470552,2.541026378657552,0.11807140383916025,0.12933420881999808,0.011262804980837829,16,0.9164815388143229,validation
3,0.8423864706975579,6,11.254643864510303,5,0.10685093537589296,2.4207808314333903,0.16815002452498107,0.17248422016050394,0.004334195635522879,16,0.8731121251470035,validation
4,0.6588079441619832,12,12.537429700248413,5,0.08962674420568367,2.5287185461136827,0.11561021768895939,0.12099461015184958,0.005384392462890187,16,0.9120424265705399,validation
