epoch,mean_coefficient_of_variation,mean_effective_number_of_agents,mean_hhi_concentration,mean_influence_range,mean_max_influence,mean_normalized_influence_entropy,samples,split,std_normalized_influence_entropy
0,0.6910233669012815,12.31099636883567,0.09244590731303745,0.1491570409673884,0.15125016011446182,0.9053654669204049,5,validation,0.009666643363765576
1,0.7529055315791104,12.012493611753953,0.09810426245809437,0.14942964230308273,0.15617974955369812,0.8964525242097775,5,train,0.012195911477785995
1,0.7070021736120042,12.433610118020631,0.09396511257942422,0.14101378424440658,0.1498123181210102,0.9088717260357051,5,validation,0.012412536602427393
2,0.6219854200055839,13.005616863886269,0.08696902196684761,0.14403184896855836,0.1504360823341109,0.9248019739470239,5,train,0.020596553008673933
2,0.6084149601114326,13.058083185372118,0.08590624600877457,0.13396383549065477,0.13905653051516342,0.9264366110913012,5,validation,0.015900861468168565
3,0.686360948962712,12.417338242631898,0.0923630303254599,0.1356960701075408,0.1440273066549242,0.9081534909314752,5,train,0.019500412429379933
3,0.6890605732209351,12.52028264507434,0.09233492611210219,0.1510912411968874,0.15869738704328745,0.9113368264951769,5,validation,0.013795126152757286
4,0.672809267277066,12.587379185126608,0.09146976679431325,0.13325740238604783,0.14227767165017063,0.9125524414871153,5,train,0.029005130427454957
4,0.6870625568380561,12.481699837511659,0.09241342465070704,0.1302444777321335,0.13825243633952816,0.9098519388645224,5,validation,0.02300978454976142
5,0.7285540888472581,12.205397639837107,0.09595682492928471,0.15611295124560132,0.16091563499311348,0.90220867766682,5,test,0.011765349860415204
5,0.7086033047811862,12.283031884134815,0.09424513938153874,0.14376987214886724,0.15134679162240205,0.9040892513226966,5,train,0.022715074899618333
5,0.7309900692452207,12.168780368281414,0.0962130779178336,0.13734738254282916,0.14555884418563592,0.9009191258431419,5,validation,0.018097197493899604
