agent_id,epoch,max_influence,mean_composite_score,mean_influence,mean_physics_score,mean_sensor_score,min_influence,n_observations,split,std_influence
0,0,0.017196182161569595,0.6286084532737732,0.01389528913423419,0.013721241801977157,0.14843921959400178,0.006865173112601042,5,validation,0.004088224738802543
1,0,0.0587734691798687,0.3492884635925293,0.05382361263036728,0.005359857436269521,0.11363649964332581,0.04665966331958771,5,validation,0.0061247046405445765
2,0,0.11906596273183823,0.20882779657840728,0.10877193063497544,0.0023756899870932104,0.09373646825551987,0.08867987990379333,5,validation,0.01354488521377274
3,0,0.10206945240497589,0.2707741022109985,0.08079610839486122,0.006695004925131798,0.07812851518392563,0.060242023319005966,5,validation,0.01747085118187798
4,0,0.05738505721092224,0.3765484094619751,0.047073391079902646,0.008870498836040496,0.09663977175951004,0.040968261659145355,5,validation,0.006656200508216101
5,0,0.041547782719135284,0.4275821208953857,0.03639259599149227,0.008468489907681943,0.1323847010731697,0.03046789951622486,5,validation,0.004199449170127215
6,0,0.12463869899511337,0.19754598736763002,0.11537306606769562,0.0017413209890946746,0.10088762938976288,0.08657064288854599,5,validation,0.01620907970260317
7,0,0.08719811588525772,0.2977725833654404,0.0697936549782753,0.00853626625612378,0.11894765794277191,0.0631982758641243,5,validation,0.010083460244946506
8,0,0.1732882559299469,0.1676090031862259,0.1398123547434807,0.0017862475011497735,0.0927471712231636,0.06744969636201859,5,validation,0.042690738271869116
9,0,0.0023047460708767176,0.9979016423225403,0.002093119081109762,0.017546411231160165,0.22590415477752684,0.0020080064423382282,5,validation,0.00012464599289649308
10,0,0.057789817452430725,0.3576985239982605,0.05167938768863678,0.008762784581631423,0.11069405227899551,0.04088316857814789,5,validation,0.006404885986626937
11,0,0.04430735856294632,0.4127779245376587,0.03929864093661308,0.008173662517219783,0.11159123778343201,0.030911989510059357,5,validation,0.005457771108677261
12,0,0.11130708456039429,0.22655024826526643,0.09923437982797623,0.005004756478592753,0.0897923544049263,0.08957928419113159,5,validation,0.009204353992359882
13,0,0.0069680893793702126,0.7869741559028626,0.006032364908605814,0.015488537028431892,0.1774294763803482,0.00512910820543766,5,validation,0.0006868680944519325
14,0,0.025659846141934395,0.5161766886711121,0.02345191575586796,0.011410299409180879,0.13337376415729524,0.017725195735692978,5,validation,0.0033067264425216277
15,0,0.12181463837623596,0.2012447476387024,0.11247815489768982,0.0043276447337120775,0.08944033533334732,0.10335873812437057,5,validation,0.00828389890145185
0,1,0.1472427248954773,0.26439323723316194,0.10814598724246025,0.00034789328929036857,0.0845880389213562,0.04768461361527443,5,train,0.040418827858381245
1,1,0.03324524685740471,0.5768690586090088,0.02589998170733452,0.0008142485516145825,0.09472597390413284,0.0044350530952215195,5,train,0.012417126916035026
2,1,0.08954954147338867,0.43378875255584715,0.05067441593855619,0.0004952320246957243,0.09473393559455871,0.014919648878276348,5,train,0.028688218454349566
3,1,0.1237814798951149,0.351319408416748,0.07086174786090851,0.0005527484288904815,0.08730762749910355,0.03453958034515381,5,train,0.03323559506545253
4,1,0.05971536412835121,0.5185320734977722,0.03703734269365668,0.0008994419011287391,0.08931175917387009,0.004624939989298582,5,train,0.02025767892969145
5,1,0.051677148789167404,0.6070220112800598,0.024550260975956917,0.0007384124910458922,0.1019580140709877,0.006575930863618851,5,train,0.019408861838354545
6,1,0.19014590978622437,0.44920597672462464,0.05970777459442615,0.0002578608080511913,0.11189185678958893,0.024015335366129875,5,train,0.07296130846999674
7,1,0.06642589718103409,0.5488184809684753,0.03061217423528433,0.0008522688527591527,0.09275804907083511,0.009430750273168087,5,train,0.023203907396854018
8,1,0.1441812813282013,0.2957569271326065,0.10997941251844168,0.00031479935278184713,0.08899640887975693,0.01469584833830595,5,train,0.05393922006464887
9,1,0.051169753074645996,0.5211168169975281,0.03289591716602445,0.0007549044210463762,0.0954600527882576,0.007435998413711786,5,train,0.015839131692375254
10,1,0.04968852549791336,0.5954743206501008,0.024864815548062323,0.0008404415799304843,0.09720410108566284,0.007093099877238274,5,train,0.018954436337546683
11,1,0.025089140981435776,0.704115891456604,0.014235452329739929,0.001207777764648199,0.09433846175670624,0.0027830160688608885,5,train,0.009013628338045577
12,1,0.11436568945646286,0.278604856133461,0.09786228090524673,0.0005036945512983948,0.08243110328912735,0.04930710047483444,5,train,0.02783152331512653
13,1,0.154033824801445,0.2257402777671814,0.12553519755601883,0.00021409631008282304,0.08550678938627243,0.07620566338300705,5,train,0.031178695396261818
14,1,0.14965064823627472,0.23083110749721528,0.12153041660785675,0.00024330019659828394,0.08570894151926041,0.07998359948396683,5,train,0.027018270525954707
15,1,0.08019814640283585,0.35227476358413695,0.06560682654380798,0.0007469628821127116,0.08263965845108032,0.04960601031780243,5,train,0.011725671218704846
0,1,0.1197819858789444,0.2604795604944229,0.0917129710316658,0.00034524393850006164,0.08389206230640411,0.07401096075773239,5,validation,0.01874142958511072
1,1,0.054346922785043716,0.565618360042572,0.025895051658153534,0.000809802592266351,0.09380591064691543,0.005048966035246849,5,validation,0.01925439695588653
2,1,0.08858953416347504,0.44121162295341493,0.04698347374796867,0.0005043421871960164,0.09305670410394669,0.011047843843698502,5,validation,0.03152451263626338
3,1,0.09872254729270935,0.2921537488698959,0.08000304773449898,0.0005003083962947131,0.08351045548915863,0.04401646926999092,5,validation,0.02180040423179854
4,1,0.054953139275312424,0.4564399838447571,0.03677473291754722,0.0008305658237077295,0.08834806829690933,0.015281252562999725,5,validation,0.014695154927213273
5,1,0.04438701644539833,0.6141062915325165,0.019545088335871697,0.0007297966745682061,0.10195288062095642,0.00653398223221302,5,validation,0.015186963753514922
6,1,0.20119968056678772,0.3967367857694626,0.06649187691509724,0.00023710037930868566,0.10170330852270126,0.024678481742739677,5,validation,0.07597051648056365
7,1,0.05251229181885719,0.46057552099227905,0.035279936715960504,0.0009104157099500299,0.08472600281238556,0.020297713577747345,5,validation,0.013408653691084795
8,1,0.13595421612262726,0.2926905393600464,0.09526383839547634,0.0002903373504523188,0.0932166486978531,0.016312001273036003,5,validation,0.04833169792210444
9,1,0.05214451625943184,0.5090237081050872,0.034061828162521124,0.0007424747804179787,0.09890679121017457,0.005739751737564802,5,validation,0.0208433528538226
10,1,0.039113860577344894,0.4871248364448547,0.03004615195095539,0.0008269600453786552,0.08831308335065842,0.019125640392303467,5,validation,0.00839507718297382
