agent,initial_specialization,final_specialization,delta_specialization,pct_specialization_change,initial_influence,final_influence,delta_influence,pct_influence_change
0.0,0.2580757856369018,0.2525375664234161,1.0,-2.14596623229025,0.6286084532737732,0.3969787001609802,-0.23162975311279305,-36.8480175388149
1.0,0.2525854587554931,0.2562582910060882,1.0,1.4540948907713953,0.3492884635925293,0.413232696056366,0.06394423246383668,18.30699812016475
2.0,0.2558731317520141,0.2793189287185669,0.0,9.163055458779427,0.2088277965784072,0.2913229659199715,0.08249516934156428,39.50392174472346
3.0,0.2558202385902405,0.2558430612087249,1.0,0.008921349854951988,0.2707741022109985,0.2214860796928405,-0.049288022518158,-18.202635376019348
4.0,0.254424512386322,0.2523361146450043,0.0,-0.8208319716249252,0.3765484094619751,0.434633719921112,0.058085310459136896,15.425721899112817
5.0,0.261542010307312,0.2745743036270142,0.0,4.982868069412341,0.4275821208953857,0.677812659740448,0.2502305388450623,58.522217514863044
6.0,0.259255838394165,0.2825893402099609,0.0,9.000183741405404,0.19754598736763,0.3659844204783439,0.1684384331107139,85.26542875166209
7.0,0.2724399983882904,0.2542523920536041,1.0,-6.6758208935109185,0.2977725833654404,0.4060237288475036,0.10825114548206322,36.35363076701134
8.0,0.2563267767429352,0.2543383538722992,1.0,-0.775737476943404,0.1676090031862259,0.3752047061920166,0.20759570300579072,123.85713121575972
9.0,0.2532127916812897,0.2782921731472015,0.0,9.904468608947049,0.9979016423225404,0.6166340053081513,-0.38126763701438915,-38.20693551791514
10.0,0.262989467382431,0.2582832992076874,1.0,-1.7894892223573569,0.3576985239982605,0.5875970959663391,0.2298985719680786,64.27160207381695
11.0,0.251752895116806,0.2633936762809753,1.0,4.623891677102006,0.4127779245376587,0.4996985077857971,0.0869205832481384,21.057468939380847
12.0,0.2627558469772338,0.2533743739128112,1.0,-3.570414577771681,0.2265502482652664,0.2201027750968933,-0.006447473168373102,-2.84593515908391
13.0,0.2555032551288604,0.2512523829936981,1.0,-1.6637252363060517,0.7869741559028626,0.2709520190954208,-0.5160221368074418,-65.57040443284076
14.0,0.2578420102596283,0.2518314242362976,0.0,-2.33111199268049,0.5161766886711121,0.2060254901647567,-0.3101511985063554,-60.086246689061895
15.0,0.2623682618141174,0.2761339008808136,0.0,5.246686078382788,0.2012447476387024,0.176173198223114,-0.025071549415588396,-12.458237896772198
