agent_id,batch_index,composite_influence_score,dominant_expert,dominant_expert_probability,effective_number_of_experts,epoch,gate_entropy,gate_entropy_normalized,gate_expert_0,gate_expert_1,gate_expert_2,gate_expert_3,global_mae,global_residual,global_rmse,influence_weight,local_physics_score,sample_in_batch,sensor_consistency_score,split
0,0,0.5810670852661133,3,0.2580074965953827,3.998892068862915,0,1.3860173225402832,0.9998001456260681,0.2415591925382614,0.2490181028842926,0.2514151334762573,0.2580074965953827,0.03557626157999039,0.00691221421584487,0.0658905878663063,0.01625165157020092,0.012973352335393429,0,0.144222229719162,validation
1,0,0.37012994289398193,0,0.2524693012237549,3.9996609687805176,0,1.3862096071243286,0.9999388456344604,0.2524693012237549,0.25143083930015564,0.24441711604595184,0.25168266892433167,0.03557626157999039,0.00691221421584487,0.0658905878663063,0.04665966331958771,0.005934382323175669,0,0.12221261113882065,validation
2,0,0.24169936776161194,1,0.25601842999458313,3.9994068145751953,0,1.386146068572998,0.9998930096626282,0.24614612758159637,0.25601842999458313,0.2521485686302185,0.24568688869476318,0.03557626157999039,0.00691221421584487,0.0658905878663063,0.08867987990379333,0.0023617357946932316,0,0.10973789542913437,validation
3,0,0.2666209936141968,0,0.25580301880836487,3.9996323585510254,0,1.3862024545669556,0.9999337196350098,0.25580301880836487,0.24899618327617645,0.24757395684719086,0.24762681126594543,0.03557626157999039,0.00691221421584487,0.0658905878663063,0.07829039543867111,0.006510683801025152,0,0.08824019879102707,validation
4,0,0.3287491798400879,3,0.25437629222869873,3.9996795654296875,0,1.386214256286621,0.9999422430992126,0.24907350540161133,0.2509293854236603,0.2456207573413849,0.25437629222869873,0.03557626157999039,0.00691221421584487,0.0658905878663063,0.05738505721092224,0.008478089235723019,0,0.09330113977193832,validation
5,0,0.4177388846874237,3,0.2612574100494385,3.99765944480896,0,1.3857090473175049,0.9995777606964111,0.24162806570529938,0.2553480565547943,0.24176645278930664,0.2612574100494385,0.03557626157999039,0.00691221421584487,0.0658905878663063,0.036775629967451096,0.008487832732498646,0,0.13500840961933136,validation
6,0,0.24651381373405457,3,0.25931376218795776,3.99859356880188,0,1.3859426975250244,0.9997463226318359,0.24501550197601318,0.2530936896800995,0.24257704615592957,0.25931376218795776,0.03557626157999039,0.00691221421584487,0.0658905878663063,0.08657064288854599,0.0018451877404004335,0,0.12080775201320648,validation
7,0,0.30945056676864624,1,0.2721332907676697,3.9942073822021484,0,1.3848451375961304,0.9989545941352844,0.24641336500644684,0.2721332907676697,0.23528537154197693,0.24616792798042297,0.03557626157999039,0.00691221421584487,0.0658905878663063,0.0631982758641243,0.008057455532252789,0,0.13267356157302856,validation
8,0,0.11757886409759521,3,0.25622159242630005,3.9986732006073,0,1.3859626054763794,0.9997606873512268,0.24009962379932404,0.24855521321296692,0.2551235556602478,0.25622159242630005,0.03557626157999039,0.00691221421584487,0.0658905878663063,0.16494886577129364,0.0018513399409130216,0,0.08224700391292572,validation
9,0,0.9992774724960327,0,0.2532239854335785,3.999884605407715,0,1.386265516281128,0.9999791979789734,0.2532239854335785,0.24832232296466827,0.2493664026260376,0.24908721446990967,0.03557626157999039,0.00691221421584487,0.0658905878663063,0.0020080064423382282,0.01760953851044178,0,0.22924098372459412,validation
10,0,0.3469395637512207,3,0.26299819350242615,3.997460126876831,0,1.3856592178344727,0.9995418190956116,0.2388075739145279,0.24573726952075958,0.25245702266693115,0.26299819350242615,0.03557626157999039,0.00691221421584487,0.0658905878663063,0.05239609256386757,0.00910103414207697,0,0.11173127591609955,validation
11,0,0.3830904960632324,1,0.25179311633110046,3.9999122619628906,0,1.3862724304199219,0.9999842047691345,0.25025996565818787,0.25179311633110046,0.24731357395648956,0.2506332993507385,0.03557626157999039,0.00691221421584487,0.0658905878663063,0.04373187571763992,0.008118966594338417,0,0.1098235622048378,validation
12,0,0.196247398853302,0,0.2628321349620819,3.9982452392578125,0,1.3858555555343628,0.9996834397315979,0.2628321349620819,0.24485427141189575,0.24541588127613068,0.24689777195453644,0.03557626157999039,0.00691221421584487,0.0658905878663063,0.11130708456039429,0.005301184486597776,0,0.08616574853658676,validation
13,0,0.768451988697052,0,0.25554853677749634,3.999445915222168,0,1.3861558437347412,0.9999001026153564,0.25554853677749634,0.2460954636335373,0.24586866796016693,0.2524872422218323,0.03557626157999039,0.00691221421584487,0.0658905878663063,0.006367902271449566,0.015886299312114716,0,0.17601919174194336,validation
14,0,0.5063357949256897,1,0.25831273198127747,3.998142719268799,0,1.3858299255371094,0.9996649622917175,0.24225696921348572,0.25831273198127747,0.2568904757499695,0.24253977835178375,0.03557626157999039,0.00691221421584487,0.0658905878663063,0.02361426129937172,0.011851596646010876,0,0.13536414504051208,validation
15,0,0.17820587754249573,3,0.2625962197780609,3.9977223873138428,0,1.3857247829437256,0.9995891451835632,0.24299772083759308,0.24160002171993256,0.2528060972690582,0.2625962197780609,0.03557626157999039,0.00691221421584487,0.0658905878663063,0.12181463837623596,0.004536652937531471,0,0.08989077061414719,validation
0,1,0.6270338892936707,3,0.2581770420074463,3.998858690261841,0,1.3860089778900146,0.9997941255569458,0.2414751499891281,0.24894599616527557,0.2514018416404724,0.2581770420074463,0.023841476067900658,0.004805537406355143,0.052502281963825226,0.014438396319746971,0.007915140129625797,0,0.14872606098651886,validation
1,1,0.38835781812667847,0,0.2525767385959625,3.9996657371520996,0,1.3862107992172241,0.9999397397041321,0.2525767385959625,0.2513071894645691,0.2444722205400467,0.2516438961029053,0.023841476067900658,0.004805537406355143,0.052502281963825226,0.047620877623558044,0.0036001168191432953,0,0.12241709232330322,validation
2,1,0.23833544552326202,1,0.2561323046684265,3.999393939971924,0,1.3861428499221802,0.9998906850814819,0.24611948430538177,0.2561323046684265,0.25208911299705505,0.24565905332565308,0.023841476067900658,0.004805537406355143,0.052502281963825226,0.10082466900348663,0.0014686917420476675,0,0.10534367710351944,validation
3,1,0.34133803844451904,0,0.2558312714099884,3.9996304512023926,0,1.3862019777297974,0.9999333620071411,0.2558312714099884,0.24890689551830292,0.24762535095214844,0.24763654172420502,0.023841476067900658,0.004805537406355143,0.052502281963825226,0.060242023319005966,0.006451072636991739,0,0.07834455370903015,validation
