extension,name,path,relative_path,size_bytes,size_human
.rar,Codes.rar,D:\47\472\New-Papers\GIS\Codes\Codes.rar,Codes.rar,11325086,10.80 MB
.zip,src.zip,D:\47\472\New-Papers\GIS\Codes\src.zip,src.zip,79132,77.28 KB
.zip,New_Branch_Methodology_Fix.zip,D:\47\472\New-Papers\GIS\Codes\New_Branch\New_Branch_Methodology_Fix.zip,New_Branch\New_Branch_Methodology_Fix.zip,4797,4.68 KB
