batch_index,dominant_expert_0_count,dominant_expert_1_count,dominant_expert_2_count,dominant_expert_3_count,epoch,global_mae,global_residual,global_rmse,mean_gate_entropy,mean_gate_entropy_normalized,mean_influence_entropy,mean_influence_entropy_normalized,mean_max_gate_probability,mean_max_influence,number_of_agents,number_of_micro_experts,split
2,3,5,2,6,4,0.02235659770667553,0.0005378584028221667,0.03521081060171127,1.3851984739303589,0.9992095232009888,2.5998289585113525,0.9376900792121887,0.2619646489620209,0.1328764110803604,16,4,validation
3,2,6,3,5,4,0.044880617409944534,0.0006099407910369337,0.0798506811261177,1.385195016860962,0.9992070198059082,2.5352609157562256,0.9144020676612854,0.2620276212692261,0.13796557486057281,16,4,validation
4,3,5,2,6,4,0.025259725749492645,0.00040472898399457335,0.039180900901556015,1.3852224349975586,0.9992268085479736,2.4915404319763184,0.8986332416534424,0.2619178891181946,0.13723784685134888,16,4,validation
0,3,5,3,5,5,0.0240262933075428,0.0005171314114704728,0.04088960587978363,1.385186791419983,0.9992009997367859,2.5132157802581787,0.9064509868621826,0.2622092068195343,0.1444527953863144,16,4,train
1,3,5,3,5,5,0.03802017122507095,0.0007551670423708856,0.06048894673585892,1.3851873874664307,0.9992014169692993,2.3988945484161377,0.8652183413505554,0.26223474740982056,0.16389210522174835,16,4,train
2,2,5,3,6,5,0.039261192083358765,0.0007157002110034227,0.06565641611814499,1.3851933479309082,0.9992058277130127,2.556717872619629,0.9221410751342773,0.26221519708633423,0.14243055880069733,16,4,train
3,2,5,3,6,5,0.027403859421610832,0.0006493587279692292,0.03950226306915283,1.3851898908615112,0.9992032647132874,2.51823091506958,0.9082598090171814,0.26225948333740234,0.1468326449394226,16,4,train
4,3,5,3,5,5,0.05414451286196709,0.0007242991705425084,0.08299462497234344,1.385178804397583,0.9991953372955322,2.5462794303894043,0.9183761477470398,0.2622969150543213,0.15912586450576782,16,4,train
0,3,5,3,5,5,0.0394870825111866,0.000632157432846725,0.06231813505291939,1.3851923942565918,0.9992049932479858,2.5250144004821777,0.9107064604759216,0.26219022274017334,0.16198338568210602,16,4,validation
1,2,5,3,6,5,0.0297881867736578,0.0005021121469326317,0.049274321645498276,1.3851979970932007,0.9992091655731201,2.473850965499878,0.8922531008720398,0.26212576031684875,0.14299780130386353,16,4,validation
2,3,6,2,5,5,0.022456297650933266,0.0007062424556352198,0.03540761023759842,1.3851852416992188,0.9991998672485352,2.5410263538360596,0.9164815545082092,0.26209965348243713,0.1293342113494873,16,4,validation
3,2,5,3,6,5,0.044921841472387314,0.0008094783406704664,0.07987787574529648,1.3851779699325562,0.9991946220397949,2.420780897140503,0.873112142086029,0.2622537910938263,0.17248423397541046,16,4,validation
4,3,5,3,5,5,0.02532326988875866,0.0005257301381789148,0.03928172588348389,1.385207176208496,0.9992157220840454,2.5287184715270996,0.9120423793792725,0.2621460556983948,0.12099461257457733,16,4,validation
0,3,5,2,6,5,0.0235275961458683,0.0005114158848300576,0.04057532548904419,1.3852068185806274,0.9992154836654663,2.4906015396118164,0.8982946276664734,0.2622322738170624,0.16194671392440796,16,4,test
1,3,5,3,5,5,0.02311585657298565,0.0005027249571867287,0.03482191637158394,1.385179877281189,0.9991960525512695,2.4934258460998535,0.8993132710456848,0.26222047209739685,0.19639262557029724,16,4,test
2,3,5,3,5,5,0.025114743039011955,0.0007519380887970328,0.04142393171787262,1.3852064609527588,0.9992152452468872,2.532292366027832,0.9133313894271851,0.26215213537216187,0.1505892127752304,16,4,test
3,2,5,3,6,5,0.0352344885468483,0.0006683133542537689,0.056125372648239136,1.3851909637451172,0.9992040395736694,2.4564125537872314,0.8859635591506958,0.2621854543685913,0.1713857650756836,16,4,test
4,2,5,3,6,5,0.023058703169226646,0.0008306682575494051,0.03714129328727722,1.3851829767227173,0.999198317527771,2.5345354080200195,0.9141404032707214,0.2622781991958618,0.12426383048295975,16,4,test
