epoch,epoch_time_sec,train_gate_entropy,train_loss,train_mae,train_mean_max_gate_probability,train_rmse,validation_gate_entropy,validation_gate_entropy_normalized,validation_mae,validation_mean_max_gate_probability,validation_residual,validation_rmse
1,9452.769816100015,1.3856483459472657,0.004184193929125155,0.037553233919399125,0.2543593066079276,0.06166551655956677,1.38566153049469,0.9995435091976502,0.04079542060693105,0.25447009404500326,0.015046622976660729,0.06519372314214707
2,10272.214848899981,1.3855999163218906,0.004141809167673013,0.03775789689804827,0.25490732065268923,0.061410397690321715,1.385556705792745,0.9994678941588209,0.03755596056580544,0.2551894108454386,0.012047750813265642,0.06493070498108863
3,10613.676492800005,1.3855000053133284,0.00413125590171798,0.03750428794217961,0.25585755492959705,0.0613128146688853,1.385440429051717,0.999384018219995,0.04241261246303717,0.2565513849258423,0.0163215188930432,0.06552152608831724
4,10727.29290120001,1.3853928344590323,0.004136954048382384,0.03806103579699993,0.25648011905806406,0.061404039950243065,1.385333275794983,0.9993067234839423,0.03829966920117537,0.25757278203964235,0.01276112658282121,0.06487659911314646
