npz_inside,path,size_human,status,total_entries
0,D:\47\472\New-Papers\GIS\Codes\src.zip,77.28 KB,OK,30
0,D:\47\472\New-Papers\GIS\Codes\New_Branch\New_Branch_Methodology_Fix.zip,4.68 KB,OK,5
