mode,level,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Residual_mean,Residual_std,batches
noise,0.05,0.033144985387722654,0.009709706655418579,0.05674814408024152,0.019855355425661584,0.0004340158232177297,8.434964270058232e-05,15
noise,0.1,0.03314525969326496,0.009709512087481642,0.05674784357349078,0.01985503776071406,0.0004788058693520725,7.281155555593771e-05,15
noise,0.2,0.03314746879041195,0.009708554113039503,0.056747705489397046,0.019853254100354528,0.0007609342768167456,3.7401565081821955e-05,15
dropout,0.05,0.033145496249198915,0.009709973640386255,0.056748125205437344,0.019855915426465906,0.0005286636393672476,5.921073639710957e-05,15
dropout,0.1,0.03314599891503652,0.009710183577895397,0.05674799904227257,0.01985647512546882,0.0006075031279275815,4.4569333024100544e-05,15
dropout,0.2,0.03314691459139188,0.009710645977340138,0.05674773628513018,0.019857535336321116,0.0007168953656218946,3.1747640938946414e-05,15
drift,0.05,0.033145518973469734,0.009709897220996116,0.056747989853223164,0.019855801139450152,0.0005395295661098014,5.614436468062941e-05,15
drift,0.1,0.03314631246030331,0.009710004792443406,0.056747625768184665,0.019856079405314267,0.0006452338420785964,3.999832192643503e-05,15
drift,0.2,0.03314889731506507,0.00970970389542134,0.05674724653363228,0.019855704576445837,0.0009112800277459124,3.439814609597387e-05,15
