agents,epoch,max_normalized_gate_entropy,mean_dominant_probability,mean_effective_experts,mean_modal_expert_fraction,mean_normalized_gate_entropy,min_normalized_gate_entropy,split,std_normalized_gate_entropy
16,0,0.9999854564666748,0.25829801745712755,3.998576793074608,1.0,0.9997432522475719,0.9989242911338806,validation,0.0002632371824964262
16,1,0.9999922752380371,0.26073076725006106,3.9970575958490375,1.0,0.9994687139987946,0.9964502692222595,train,0.0008487851571623825
16,1,0.9999912858009339,0.2606719244271517,3.9970625668764117,0.9625,0.9994696006178856,0.9964329838752747,validation,0.0008518543476024187
16,2,0.9999908089637757,0.26124938018620014,3.9965796798467634,1.0,0.9993823915719986,0.9962719202041626,train,0.0009089874292588873
16,2,0.999990952014923,0.26117331348359585,3.996585655212402,0.9875,0.9993834614753723,0.9962533235549926,validation,0.0009117911505165604
16,3,0.9999935507774353,0.2609928138554096,3.996500405669212,1.0,0.9993681766092777,0.9973899722099304,train,0.0008235903972989836
16,3,0.9999930381774902,0.2609636425971985,3.996506080031395,0.9875,0.9993692003190517,0.9973748445510864,validation,0.0008246092164546445
16,4,0.999994421005249,0.2620391838252545,3.995646467804909,0.9375,0.9992133893072606,0.9951250314712524,train,0.0012878641397697657
16,4,0.9999941110610961,0.2619608882814646,3.9956629872322083,0.95,0.9992163680493832,0.9951036930084228,validation,0.0012906921969739781
16,5,0.9999928832054138,0.26221371144056316,3.995602825284004,0.9624999999999999,0.9992058336734772,0.9965677857398987,test,0.0010829626044384663
16,5,0.9999942302703857,0.262243103608489,3.995578247308731,0.975,0.9992013782262802,0.9965523242950439,train,0.0010888639246007263
16,5,0.9999939560890198,0.26216309890151024,3.9955976724624636,0.95,0.9992048934102058,0.9965338826179504,validation,0.0010877651187469982
