agent_id,delta_mean_influence,final_composite_score,final_epoch,final_mean_influence,final_physics_score,final_sensor_score,initial_composite_score,initial_epoch,initial_mean_influence,initial_physics_score,initial_sensor_score
0,0.030732231307774784,0.39697870016098025,5,0.044627520442008975,0.0009359673480503261,0.08321420550346374,0.6286084532737732,0,0.01389528913423419,0.013721241801977157,0.14843921959400178
1,-0.009688232466578482,0.413232696056366,5,0.0441353801637888,0.00045798328355886044,0.0934361457824707,0.3492884635925293,0,0.05382361263036728,0.005359857436269521,0.11363649964332581
2,-0.02228572964668274,0.2913229659199715,5,0.0864862009882927,0.00030986529891379176,0.09342538863420487,0.20882779657840728,0,0.10877193063497544,0.0023756899870932104,0.09373646825551987
3,0.022835077345371255,0.22148607969284057,5,0.10363118574023247,0.00034320554696023466,0.08369226455688476,0.2707741022109985,0,0.08079610839486122,0.006695004925131798,0.07812851518392563
4,-0.010392411425709722,0.43463371992111205,5,0.036680979654192924,0.0008197779417969287,0.09014174789190292,0.3765484094619751,0,0.047073391079902646,0.008870498836040496,0.09663977175951004
5,-0.025209625996649263,0.677812659740448,5,0.011182969994843006,0.0010565352626144887,0.10489279627799988,0.4275821208953857,0,0.03639259599149227,0.008468489907681943,0.1323847010731697
6,-0.049383930116891864,0.36598442047834395,5,0.06598913595080376,0.00027065728208981455,0.10146491974592209,0.19754598736763002,0,0.11537306606769562,0.0017413209890946746,0.10088762938976288
7,-0.02759273126721383,0.40602372884750365,5,0.042200923711061475,0.0007244107662700116,0.08705411702394486,0.2977725833654404,0,0.0697936549782753,0.00853626625612378,0.11894765794277191
8,-0.07773609245195987,0.3752047061920166,5,0.062076262291520835,0.0006308021547738463,0.09389216750860215,0.1676090031862259,0,0.1398123547434807,0.0017862475011497735,0.0927471712231636
9,0.015806286409497262,0.6166340053081513,5,0.017899405490607024,0.001255804835818708,0.10363471508026123,0.9979016423225403,0,0.002093119081109762,0.017546411231160165,0.22590415477752684
10,-0.034372386522591114,0.5875970959663391,5,0.017307001166045666,0.001106247236020863,0.0920553207397461,0.3576985239982605,0,0.05167938768863678,0.008762784581631423,0.11069405227899551
11,-0.012242430076003074,0.4996985077857971,5,0.027056210860610008,0.001429556286893785,0.08338716626167297,0.4127779245376587,0,0.03929864093661308,0.008173662517219783,0.11159123778343201
12,0.013955261558294296,0.2201027750968933,5,0.11318964138627052,0.00038837631000205876,0.08510587811470031,0.22655024826526643,0,0.09923437982797623,0.005004756478592753,0.0897923544049263
13,0.08549120230600238,0.2709520190954208,5,0.09152356721460819,0.0005069398321211338,0.08743436485528946,0.7869741559028626,0,0.006032364908605814,0.015488537028431892,0.1774294763803482
14,0.0867292132228613,0.20602549016475677,5,0.11018112897872925,0.00035924820695072414,0.08274610936641694,0.5161766886711121,0,0.02345191575586796,0.011410299409180879,0.13337376415729524
15,0.013354359567165366,0.176173198223114,5,0.1258325144648552,0.0005013661575503647,0.08106184303760529,0.2012447476387024,0,0.11247815489768982,0.0043276447337120775,0.08944033533334732
