ablation,Test_MAE_mean,Test_RMSE_mean,Test_Residual_mean,Latency_sec_mean,Latency_sec_p95,Latency_sec_p99,test_count
full,0.03147731920083364,0.0564096341530482,0.0002739599886505554,2.2635566066601314,2.367847509984858,2.5055267019802705,15
no_comms,0.03228864831229051,0.056422035892804465,0.0003158347855787724,1.2451002599981924,1.2688763200421818,1.2700402240385302,15
no_roles,0.0341577668984731,0.057075150310993195,0.0003501486809303363,2.4834144466673025,2.530427220033016,2.5968031240138223,15
no_physics,0.032828036695718765,0.05633413890997569,0.013969107717275619,2.4687258599908093,2.5416440000059084,2.5419100000103936,15
